TITLE	N2200
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	22/02/25
TIME	12:41:00
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 1600.0000
LASTX	  200.0000
NPOINTS	    2801
FIRSTY	     0.00109
MAXY	    10.00000
MINY	    -0.78610
XYDATA
1549.5000	0.00136832
1549.0000	0.00136671
1548.5000	0.00136486
1548.0000	0.00136561
1547.5000	0.00136736
1547.0000	0.00137237
1546.5000	0.00137692
1546.0000	0.00137833
1545.5000	0.00137938
1545.0000	0.00137981
1544.5000	0.00137829
1544.0000	0.00137682
1543.5000	0.0013734
1543.0000	0.00137159
1542.5000	0.00137343
1542.0000	0.00137667
1541.5000	0.0013805
1541.0000	0.00138292
1540.5000	0.00138625
1540.0000	0.00138821
1539.5000	0.00138878
1539.0000	0.00138703
1538.5000	0.00138318
1538.0000	0.00138073
1537.5000	0.00138126
1537.0000	0.00138322
1536.5000	0.00138602
1536.0000	0.00138835
1535.5000	0.00139242
1535.0000	0.00139526
1534.5000	0.00139547
1534.0000	0.00139508
1533.5000	0.00139136
1533.0000	0.00138881
1532.5000	0.0013874
1532.0000	0.00138778
1531.5000	0.00138893
1531.0000	0.00139158
1530.5000	0.00139634
1530.0000	0.00140097
1529.5000	0.00140344
1529.0000	0.00140346
1528.5000	0.00140218
1528.0000	0.00139899
1527.5000	0.00139883
1527.0000	0.00139995
1526.5000	0.00140099
1526.0000	0.00140357
1525.5000	0.00140755
1525.0000	0.00141195
1524.5000	0.00141312
1524.0000	0.00141267
1523.5000	0.00141006
1523.0000	0.00140735
1522.5000	0.00140572
1522.0000	0.00140444
1521.5000	0.00140459
1521.0000	0.00140605
1520.5000	0.00140836
1520.0000	0.00141029
1519.5000	0.00141108
1519.0000	0.00140925
1518.5000	0.0014053
1518.0000	0.00140058
1517.5000	0.00139712
1517.0000	0.00139418
1516.5000	0.00139412
1516.0000	0.00139524
1515.5000	0.00139951
1515.0000	0.0014019
1514.5000	0.00140258
1514.0000	0.00140105
1513.5000	0.00139805
1513.0000	0.00139602
1512.5000	0.00139426
1512.0000	0.00139411
1511.5000	0.00139494
1511.0000	0.00139634
1510.5000	0.00139939
1510.0000	0.00140242
1509.5000	0.00140327
1509.0000	0.00140156
1508.5000	0.00139936
1508.0000	0.00139707
1507.5000	0.00139471
1507.0000	0.00139337
1506.5000	0.00139391
1506.0000	0.00139824
1505.5000	0.00140151
1505.0000	0.00140429
1504.5000	0.001405
1504.0000	0.00140456
1503.5000	0.00140086
1503.0000	0.00139745
1502.5000	0.00139741
1502.0000	0.00139918
1501.5000	0.00140309
1501.0000	0.00140885
1500.5000	0.00141428
1500.0000	0.00141852
1499.5000	0.00142131
1499.0000	0.00142123
1498.5000	0.00141875
1498.0000	0.00141735
1497.5000	0.00141706
1497.0000	0.00141773
1496.5000	0.0014193
1496.0000	0.00142315
1495.5000	0.00142623
1495.0000	0.00142835
1494.5000	0.00142873
1494.0000	0.00142603
1493.5000	0.00142102
1493.0000	0.0014147
1492.5000	0.00141124
1492.0000	0.00140894
1491.5000	0.00141022
1491.0000	0.00141309
1490.5000	0.0014179
1490.0000	0.00142007
1489.5000	0.00142182
1489.0000	0.00141971
1488.5000	0.00141468
1488.0000	0.00140936
1487.5000	0.00140678
1487.0000	0.0014071
1486.5000	0.00140771
1486.0000	0.00140979
1485.5000	0.00141138
1485.0000	0.00141327
1484.5000	0.00141183
1484.0000	0.00140719
1483.5000	0.00139959
1483.0000	0.00139313
1482.5000	0.00138874
1482.0000	0.00138573
1481.5000	0.00138637
1481.0000	0.00138703
1480.5000	0.00138872
1480.0000	0.00138921
1479.5000	0.00138806
1479.0000	0.00138335
1478.5000	0.00137548
1478.0000	0.00136903
1477.5000	0.00136649
1477.0000	0.00136835
1476.5000	0.00137032
1476.0000	0.00137338
1475.5000	0.0013763
1475.0000	0.00137837
1474.5000	0.00137607
1474.0000	0.00137192
1473.5000	0.00136551
1473.0000	0.00136153
1472.5000	0.00136111
1472.0000	0.00136441
1471.5000	0.00136826
1471.0000	0.00137115
1470.5000	0.00137431
1470.0000	0.00137604
1469.5000	0.00137643
1469.0000	0.00137293
1468.5000	0.00137057
1468.0000	0.00137031
1467.5000	0.00137252
1467.0000	0.0013771
1466.5000	0.00138053
1466.0000	0.0013839
1465.5000	0.00138462
1465.0000	0.0013853
1464.5000	0.0013854
1464.0000	0.00138416
1463.5000	0.00138424
1463.0000	0.00138824
1462.5000	0.00139502
1462.0000	0.00140211
1461.5000	0.00140764
1461.0000	0.0014113
1460.5000	0.00141476
1460.0000	0.00141607
1459.5000	0.0014183
1459.0000	0.00141873
1458.5000	0.00141976
1458.0000	0.00142167
1457.5000	0.00142634
1457.0000	0.00143044
1456.5000	0.00143295
1456.0000	0.00143351
1455.5000	0.00143259
1455.0000	0.00143347
1454.5000	0.00143357
1454.0000	0.00143409
1453.5000	0.00143482
1453.0000	0.0014365
1452.5000	0.00143801
1452.0000	0.0014384
1451.5000	0.00143499
1451.0000	0.00142986
1450.5000	0.00142621
1450.0000	0.00142415
1449.5000	0.00142358
1449.0000	0.00142276
1448.5000	0.00142115
1448.0000	0.00141876
1447.5000	0.00141577
1447.0000	0.00141045
1446.5000	0.00140351
1446.0000	0.00139606
1445.5000	0.00139085
1445.0000	0.00138732
1444.5000	0.00138441
1444.0000	0.00138223
1443.5000	0.00137859
1443.0000	0.00137354
1442.5000	0.00136821
1442.0000	0.00136267
1441.5000	0.00135458
1441.0000	0.00134872
1440.5000	0.0013451
1440.0000	0.0013435
1439.5000	0.00134307
1439.0000	0.00134045
1438.5000	0.0013363
1438.0000	0.00133012
1437.5000	0.00132267
1437.0000	0.00131657
1436.5000	0.00131266
1436.0000	0.00131057
1435.5000	0.00131146
1435.0000	0.001315
1434.5000	0.00131746
1434.0000	0.00131704
1433.5000	0.00131321
1433.0000	0.00131007
1432.5000	0.00130781
1432.0000	0.00130704
1431.5000	0.00130824
1431.0000	0.001312
1430.5000	0.0013174
1430.0000	0.00132303
1429.5000	0.00132537
1429.0000	0.00132441
1428.5000	0.00132234
1428.0000	0.00132162
1427.5000	0.00132075
1427.0000	0.0013238
1426.5000	0.0013303
1426.0000	0.00133836
1425.5000	0.00134655
1425.0000	0.00135149
1424.5000	0.00135323
