TITLE	N2200
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/10/25
TIME	14:57:39
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 1600.0000
LASTX	  200.0000
NPOINTS	    2801
FIRSTY	     0.00138
MAXY	     0.15005
MINY	     0.00137
XYDATA
1549.5000	0.00153024
1549.0000	0.00153086
1548.5000	0.00153707
1548.0000	0.0015431
1547.5000	0.0015459
1547.0000	0.00154673
1546.5000	0.0015488
1546.0000	0.00155061
1545.5000	0.00155224
1545.0000	0.00155261
1544.5000	0.00155409
1544.0000	0.00156012
1543.5000	0.0015608
1543.0000	0.00155974
1542.5000	0.00156105
1542.0000	0.0015577
1541.5000	0.00155648
1541.0000	0.00155901
1540.5000	0.00156025
1540.0000	0.00156148
1539.5000	0.00156326
1539.0000	0.00156228
1538.5000	0.00156327
1538.0000	0.00156462
1537.5000	0.00156186
1537.0000	0.00156823
1536.5000	0.0015699
1536.0000	0.00157325
1535.5000	0.00157656
1535.0000	0.00158315
1534.5000	0.0015862
1534.0000	0.00158676
1533.5000	0.0015859
1533.0000	0.00158805
1532.5000	0.00159
1532.0000	0.00159472
1531.5000	0.00159619
1531.0000	0.00159796
1530.5000	0.00159628
1530.0000	0.00159516
1529.5000	0.00159557
1529.0000	0.00160109
1528.5000	0.00160117
1528.0000	0.00160375
1527.5000	0.00160961
1527.0000	0.00161664
1526.5000	0.00161484
1526.0000	0.0016173
1525.5000	0.00161797
1525.0000	0.00162077
1524.5000	0.00162197
1524.0000	0.00162597
1523.5000	0.00162922
1523.0000	0.00162982
1522.5000	0.00162701
1522.0000	0.00162758
1521.5000	0.00162846
1521.0000	0.00162596
1520.5000	0.00162598
1520.0000	0.00162767
1519.5000	0.00162864
1519.0000	0.00163326
1518.5000	0.00163761
1518.0000	0.00164016
1517.5000	0.00164219
1517.0000	0.00164296
1516.5000	0.00164369
1516.0000	0.00164746
1515.5000	0.00164975
1515.0000	0.00164935
1514.5000	0.00165059
1514.0000	0.00165555
1513.5000	0.00166009
1513.0000	0.00166293
1512.5000	0.00166148
1512.0000	0.00166433
1511.5000	0.00166709
1511.0000	0.00167029
1510.5000	0.00167527
1510.0000	0.00168004
1509.5000	0.0016799
1509.0000	0.00168231
1508.5000	0.00168489
1508.0000	0.00168874
1507.5000	0.00168689
1507.0000	0.00168164
1506.5000	0.00168173
1506.0000	0.00168436
1505.5000	0.00168388
1505.0000	0.00168221
1504.5000	0.00168251
1504.0000	0.00167908
1503.5000	0.00167756
1503.0000	0.00168048
1502.5000	0.00168393
1502.0000	0.00168866
1501.5000	0.00169054
1501.0000	0.00169716
1500.5000	0.00170159
1500.0000	0.00170448
1499.5000	0.00170397
1499.0000	0.00170597
1498.5000	0.00170777
1498.0000	0.00171272
1497.5000	0.00171463
1497.0000	0.00171655
1496.5000	0.00171747
1496.0000	0.00171795
1495.5000	0.00171619
1495.0000	0.00171965
1494.5000	0.00171904
1494.0000	0.0017241
1493.5000	0.00172695
1493.0000	0.0017306
1492.5000	0.0017329
1492.0000	0.00173393
1491.5000	0.00173273
1491.0000	0.00173429
1490.5000	0.00173501
1490.0000	0.0017349
1489.5000	0.00173265
1489.0000	0.00173755
1488.5000	0.00173808
1488.0000	0.00174054
1487.5000	0.00174087
1487.0000	0.00174532
1486.5000	0.00174651
1486.0000	0.00174663
1485.5000	0.00174946
1485.0000	0.00175277
1484.5000	0.00175313
1484.0000	0.00175276
1483.5000	0.0017557
1483.0000	0.00175585
1482.5000	0.0017545
1482.0000	0.00175528
1481.5000	0.00175579
1481.0000	0.00175264
1480.5000	0.00175059
1480.0000	0.00175061
1479.5000	0.00175602
1479.0000	0.0017552
1478.5000	0.00175904
1478.0000	0.00176885
1477.5000	0.00177152
1477.0000	0.00177443
1476.5000	0.00177733
1476.0000	0.00177828
1475.5000	0.00177639
1475.0000	0.00177485
